City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
339,palikir - national government center,6.9248,158.1611,82.56,72,96,4.03,FM,1690821079
340,okoneshnikovo,54.8377,75.0834,66.29,73,80,2.95,RU,1690821079
341,port augusta,-32.5,137.7667,49.77,83,0,5.86,AU,1690821079
342,sorong,-0.8833,131.25,78.01,89,52,7.56,ID,1690821080
343,albu kamal,34.45,40.9186,98.82,14,0,8.97,SY,1690821081
344,waingapu,-9.6567,120.2641,73.71,88,37,8.77,ID,1690821081
345,palmas,-10.2128,-48.3603,93.07,33,0,13.8,BR,1690821007
346,acajutla,13.5928,-89.8275,88.9,60,27,7.14,SV,1690821082
347,salinas,36.6777,-121.6555,67.01,84,100,3.44,US,1690821082
348,santo antonio,-6.3106,-35.4789,88.92,42,9,16.78,BR,1690821083
349,port alfred,-33.5906,26.891,55.18,67,41,8.99,ZA,1690821083
350,heze,35.2431,115.4411,79.27,94,46,10.27,CN,1690820836
351,pimentel,-6.8367,-79.9342,75.49,69,100,16.11,PE,1690821084
352,belyy yar,53.6039,91.3903,67.89,73,0,2.24,RU,1690821084
353,tirumullaivasal,11.2333,79.8333,84.29,72,100,12.37,IN,1690821084
354,meraux,29.933,-89.9498,96.04,59,75,13.8,US,1690821085
355,lata,40.1629,-8.3327,84.49,43,0,13.44,PT,1690821085
356,bako,5.7833,36.5667,67.62,75,93,3.18,ET,1690821085
357,praia da vitoria,38.7333,-27.0667,82.65,78,40,5.79,PT,1690821086
358,leava,-14.3,-178.1667,79.52,79,82,4.21,WF,1690821086
359,nieuw amsterdam,5.8833,-55.0833,93.02,64,10,10.87,SR,1690821086
360,jiazi,22.8779,116.067,80.35,86,89,5.08,CN,1690821087
361,reggane,26.7158,0.1714,118.36,4,0,13.4,DZ,1690821087
362,placido de castro,-10.3353,-67.1856,99.32,23,8,2.19,BR,1690821087
363,boende,-0.2167,20.8667,81.14,62,90,2.35,CD,1690821088
